epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
73,13537.8,1.51144,1.9609,0.01986,0.99955,14.2738,0.60848,0.4931,0.53911,0.34737,1.42422,1.62209,0.02333,0,0,14.2738,0,14.2738,0,0.0668184,0.21224,3.34277,3.34277,0,1,0.008218,0.008218,0.008218,0.004109,0.016436
74,13721,1.50248,1.95414,0.01977,0.9997,14.2451,0.61949,0.48893,0.54043,0.3485,1.42339,1.6196,0.0233,0,0,14.2451,0,14.2451,0,0.0666797,0.212665,3.34277,3.34277,0,1,0.00819325,0.00819325,0.00819325,0.00409662,0.0163865
75,13906.5,1.50159,1.95255,0.01977,0.99957,14.2861,0.62036,0.49014,0.5416,0.34932,1.42275,1.61702,0.02329,0,0,14.2861,0,14.2861,0,0.0668832,0.213601,3.34277,3.34277,0,1,0.0081685,0.0081685,0.0081685,0.00408425,0.016337
76,14089.5,1.51106,1.94933,0.01974,0.99965,14.1927,0.61583,0.49392,0.5426,0.34999,1.42095,1.6162,0.02324,0,0,14.1927,0,14.1927,0,0.0664382,0.212422,3.34277,3.34277,0,1,0.00814375,0.00814375,0.00814375,0.00407187,0.0162875
77,14272.5,1.50008,1.94052,0.01972,0.99964,14.1525,0.61735,0.49622,0.54378,0.35075,1.42043,1.61317,0.02322,0,0,14.1525,0,14.1525,0,0.0662565,0.212241,3.34277,3.34277,0,1,0.008119,0.008119,0.008119,0.0040595,0.016238
78,14456.4,1.49449,1.92585,0.01971,0.9996,14.2061,0.61854,0.49559,0.54463,0.35159,1.41856,1.61162,0.02317,0,0,14.2061,0,14.2061,0,0.0665067,0.214548,3.34277,3.34277,0,1,0.00809425,0.00809425,0.00809425,0.00404712,0.0161885
79,14639,1.49158,1.9482,0.01964,0.99982,14.1945,0.62192,0.4965,0.54564,0.35239,1.41762,1.60954,0.02316,0,0,14.1945,0,14.1945,0,0.0664469,0.213008,3.34277,3.34277,0,1,0.0080695,0.0080695,0.0080695,0.00403475,0.016139
80,14821.5,1.4935,1.9246,0.01963,0.99981,14.1709,0.61472,0.50045,0.54663,0.35333,1.41564,1.60842,0.02311,0,0,14.1709,0,14.1709,0,0.0663392,0.213979,3.34277,3.34277,0,1,0.00804475,0.00804475,0.00804475,0.00402237,0.0160895
81,15005,1.49263,1.91589,0.01956,0.99965,14.153,0.61925,0.49987,0.54765,0.35428,1.41444,1.60612,0.02308,0,0,14.1531,0,14.1531,0,0.0662548,0.214572,3.34277,3.34277,0,1,0.00802,0.00802,0.00802,0.00401,0.01604
82,15189.4,1.48371,1.92157,0.01956,0.99981,14.2028,0.6223,0.49943,0.54837,0.35503,1.41228,1.60484,0.02303,0,0,14.2028,0,14.2028,0,0.0664914,0.214918,3.34277,3.34277,0,1,0.00799525,0.00799525,0.00799525,0.00399763,0.0159905
83,15373.3,1.49611,1.90634,0.01962,0.99978,14.1642,0.62705,0.49796,0.54943,0.35572,1.41187,1.60177,0.02302,0,0,14.1642,0,14.1642,0,0.0663059,0.214554,3.34277,3.34277,0,1,0.0079705,0.0079705,0.0079705,0.00398525,0.015941
84,15557.4,1.48898,1.91691,0.01944,0.99957,14.1294,0.62125,0.5004,0.54954,0.35632,1.41076,1.60039,0.02299,0,0,14.1294,0,14.1294,0,0.0661426,0.21414,3.34277,3.34277,0,1,0.00794575,0.00794575,0.00794575,0.00397287,0.0158915
85,15746.3,1.49834,1.8994,0.01951,0.99974,14.0811,0.62533,0.49942,0.55003,0.35659,1.40919,1.59939,0.02295,0,0,14.0811,0,14.0811,0,0.0659158,0.213851,3.34277,3.34277,0,1,0.007921,0.007921,0.007921,0.0039605,0.015842
86,15934.4,1.49113,1.90201,0.01953,0.9999,14.115,0.63074,0.49855,0.55085,0.3573,1.40888,1.597,0.02295,0,0,14.115,0,14.115,0,0.0660794,0.214954,3.34277,3.34277,0,1,0.00789625,0.00789625,0.00789625,0.00394813,0.0157925
